id;data;competencia;tipo;descricao;categoria;grupo;forma_pagamento;cartao;parcela;parcelas_total;valor;pago;obs
IMP001;2026-07-05;2026-07;Entrada;SALARIO;Salário;Receita;Pix;;1;1;9650.24;Sim;importado da planilha antiga
IMP002;2026-07-05;2026-07;Entrada;DIVIDENDO;Rendimentos/Investimentos;Receita;Pix;;1;1;1300.0;Sim;importado da planilha antiga
IMP003;2026-07-06;2026-07;Saída;DIZIMO;Presentes/Doações;Pessoal;Débito;;1;1;965.02;Sim;importado da planilha antiga
IMP004;2026-07-06;2026-07;Saída;PARCELA MRV;Aluguel/Condomínio;Moradia;Boleto;;1;1;1276.48;Sim;importado da planilha antiga
IMP005;2026-07-06;2026-07;Saída;SEGURO MRV;Aluguel/Condomínio;Moradia;Boleto;;1;1;38.82;Sim;importado da planilha antiga
IMP006;2026-07-06;2026-07;Saída;APCEF;Plano de Saúde;Saúde;Boleto;;1;1;41.0;Sim;importado da planilha antiga
IMP007;2026-07-07;2026-07;Saída;ENERGIA;Contas da casa (luz/água/gás);Moradia;Boleto;;1;1;690.78;Sim;importado da planilha antiga
IMP008;2026-07-10;2026-07;Saída;PASSAPORTE;Lazer;Pessoal;Débito;;1;1;257.25;Sim;importado da planilha antiga
IMP009;2026-07-20;2026-07;Saída;HUMANAS DENTINHO;Plano de Saúde;Saúde;Boleto;;1;1;8.0;Sim;importado da planilha antiga
IMP010;2026-07-20;2026-07;Saída;HUMANAS SAUDE;Plano de Saúde;Saúde;Boleto;;1;1;745.53;Sim;importado da planilha antiga
IMP011;2026-07-20;2026-07;Saída;NUBAK HELENA;Outros;Outros;Crédito;NU HELENA;1;1;332.01;Sim;fatura sem detalhe
IMP012;2026-07-15;2026-07;Saída;CEA;Lazer;Pessoal;Boleto;;1;1;120.0;Sim;importado da planilha antiga
IMP013;2026-06-05;2026-07;Saída;Havan Sao Luiz;Manutenção/Móveis;Moradia;Crédito;NU RICARDO;3;4;64.99;Sim;fatura importada
IMP014;2026-06-05;2026-07;Saída;Gol Linhas Aéreas;Viagem;Pessoal;Crédito;NU RICARDO;5;5;104.06;Sim;fatura importada
